City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
594,Alice Springs,AU,80.15,0,-23.7,133.8833,Desert Palms Alice Springs
595,Domoni,KM,78.82,58,-12.2569,44.5319,Al Djadid
597,Bitung,ID,81.45,99,1.4451,125.1824,K2 Lembeh
598,Honiara,SB,85.08,100,-9.4333,159.95,Heritage Park Hotel
603,Vung Tau,VN,77.25,97,10.346,107.0843,Green hotel
609,Kontagora,NG,75.29,0,10.3999,5.4695,Queens Guest Inn
610,Santa Isabel,BR,75.36,100,-23.3156,-46.2214,Chácara Sombra do Altíssimo
613,Buchanan,LR,79.54,43,5.8808,-10.0467,Kamaneahn Hotel Inc
614,Auki,SB,83.75,99,-8.7676,160.7034,Auki Motel
616,Rockhampton,AU,80.49,20,-23.3833,150.5,Mercure Rockhampton
621,Saint-Leu,RE,76.06,100,-21.15,55.2833,La Caz Oceane
624,Manokwari,ID,81.54,100,-0.8667,134.0833,Swiss Belhotel Manokwari
627,Morant Bay,JM,76.62,4,17.8815,-76.4093,Whispering Bamboo Cove Resort
635,Tutoia,BR,84.18,24,-2.7619,-42.2744,Pousada Guará's
637,Natal,BR,81.25,20,-5.795,-35.2094,Villa Park Hotel | Natal
639,Atambua,ID,79.59,42,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
641,Boa Vista,BR,84.18,75,2.8197,-60.6733,Aipana Plaza Hotel
644,Inhambane,MZ,75.94,41,-23.865,35.3833,Oceano
655,Madras,IN,78.96,20,13.0878,80.2785,City home
660,Manaure,CO,78.91,13,11.7751,-72.4445,Hotel Palaaima
665,Tabou,CI,79.23,88,4.423,-7.3528,hotêl doufoulougou
669,Mareeba,AU,81.66,74,-17.0,145.4333,Trinity Plains Tourist Park
672,Dibulla,CO,78.82,30,11.2725,-73.3091,Hospedaje Dibulla Beach
678,Narrabri,AU,75.52,0,-30.3167,149.7833,Crossroads Hotel
683,Kaeo,NZ,76.32,100,-35.1,173.7833,Bushido Lodge
684,Zorritos,PE,79.09,65,-3.6805,-80.6782,Hotel Pinamar
686,Arawa,PG,87.22,100,-6.2132,155.5367,Coastline Guest House
687,Sinnamary,GF,77.85,100,5.3833,-52.95,ALETHEIA Appartement Sinnamary
